"","X","Y","offense","year"
"279",-71.100849,42.375482,"THEFT FROM MOTOR VEHICLE",2005
"280",-71.083081,42.38172,"MOTOR VEHICLE THEFT",2005
"281",-71.089787,42.393676,"BURGLARY/BREAKING AND ENTERING",2005
"282",-71.132891,42.406502,"THEFT FROM MOTOR VEHICLE",2005
"283",-71.08995,42.377648,"MOTOR VEHICLE THEFT",2005
"284",-78.589606,42.8912372,"ROBBERY",2005
"285",-71.126641,42.402966,"ROBBERY",2005
"286",-71.108043,42.398565,"MOTOR VEHICLE THEFT",2005
"287",-71.122385,42.396544,"MOTOR VEHICLE THEFT",2005
"288",-71.112899,42.385111,"MOTOR VEHICLE THEFT",2005
"289",-71.127826,42.403177,"MOTOR VEHICLE THEFT",2005
"290",-71.091048,42.382583,"ROBBERY",2005
"291",-71.097391,42.399009,"BURGLARY/BREAKING AND ENTERING",2005
"292",-71.089926,42.380065,"MOTOR VEHICLE THEFT",2005
"293",-71.088085,42.378632,"MOTOR VEHICLE THEFT",2005
"294",-71.081935,42.381969,"MOTOR VEHICLE THEFT",2005
"295",-71.087332,42.381923,"BURGLARY/BREAKING AND ENTERING",2005
"296",-71.084703,42.381506,"BURGLARY/BREAKING AND ENTERING",2005
"297",-71.083321,42.38436,"BURGLARY/BREAKING AND ENTERING",2005
"298",-71.117033,42.403465,"BURGLARY/BREAKING AND ENTERING",2005
"299",-71.128778,42.408258,"ROBBERY",2005
"300",-71.086677,42.389093,"ROBBERY",2005
"301",-71.112534,42.395288,"ROBBERY",2005
"302",-71.122417,42.396548,"BURGLARY/BREAKING AND ENTERING",2005
"303",-71.092988,42.394873,"MOTOR VEHICLE THEFT",2005
"304",-71.085909,42.388793,"MOTOR VEHICLE THEFT",2005
"305",-71.094928,42.38538,"MOTOR VEHICLE THEFT",2005
"306",-71.098777,42.377379,"MOTOR VEHICLE THEFT",2005
"307",-71.117113,42.403951,"BURGLARY/BREAKING AND ENTERING",2005
"308",-71.083852,42.381694,"THEFT FROM MOTOR VEHICLE",2005
"309",-71.087385,42.381791,"BURGLARY/BREAKING AND ENTERING",2005
"310",-71.112336,42.392178,"BURGLARY/BREAKING AND ENTERING",2005
"311",-71.116831,42.402004,"BURGLARY/BREAKING AND ENTERING",2005
"312",-71.113595,42.400321,"BURGLARY/BREAKING AND ENTERING",2005
"313",-71.081155,42.382943,"THEFT FROM MOTOR VEHICLE",2005
"314",-71.104791,42.385986,"MOTOR VEHICLE THEFT",2005
"315",-71.116629,42.401503,"BURGLARY/BREAKING AND ENTERING",2005
"316",-71.099892,42.387283,"MOTOR VEHICLE THEFT",2005
"317",-71.103315,42.39443,"MOTOR VEHICLE THEFT",2005
"318",-71.095238,42.389092,"MOTOR VEHICLE THEFT",2005
"319",-71.079606,42.386574,"ROBBERY",2005
"320",-71.108096,42.398463,"MOTOR VEHICLE THEFT",2005
"321",-71.080817,42.383419,"BURGLARY/BREAKING AND ENTERING",2005
"322",-71.082965,42.374031,"MOTOR VEHICLE THEFT",2005
"323",-71.083793,42.394277,"MOTOR VEHICLE THEFT",2005
"324",-71.092899,42.389363,"MOTOR VEHICLE THEFT",2005
"325",-71.080936,42.38004,"MOTOR VEHICLE THEFT",2005
"326",-71.078604,42.387814,"MOTOR VEHICLE THEFT",2005
"327",-71.096146,42.379597,"ROBBERY",2005
"328",-71.104958,42.382942,"BURGLARY/BREAKING AND ENTERING",2005
"329",-71.118995,42.395869,"BURGLARY/BREAKING AND ENTERING",2005
"330",-71.110891,42.388666,"THEFT FROM MOTOR VEHICLE",2005
"331",-71.081015,42.386141,"BURGLARY/BREAKING AND ENTERING",2005
"332",-71.115308,42.401001,"BURGLARY/BREAKING AND ENTERING",2005
"333",-71.118584,42.39495,"BURGLARY/BREAKING AND ENTERING",2005
"334",-71.090178,42.377623,"MOTOR VEHICLE THEFT",2005
"335",-71.091048,42.382583,"BURGLARY/BREAKING AND ENTERING",2005
"336",-71.116106,42.388606,"MOTOR VEHICLE THEFT",2005
"337",-71.086995,42.390708,"MOTOR VEHICLE THEFT",2005
"338",-71.102327,42.387194,"BURGLARY/BREAKING AND ENTERING",2005
"339",-71.103787,42.39646,"ROBBERY",2005
"340",-71.124915,42.398828,"BURGLARY/BREAKING AND ENTERING",2005
"341",-71.12432,42.398609,"BURGLARY/BREAKING AND ENTERING",2005
"342",-71.10971,42.386277,"ROBBERY",2005
"343",-71.091681,42.378144,"ROBBERY",2005
"344",-71.092014,42.386927,"BURGLARY/BREAKING AND ENTERING",2005
"345",-71.081094,42.383022,"BURGLARY/BREAKING AND ENTERING",2005
"346",-71.1072949,42.385838,"MOTOR VEHICLE THEFT",2005
"347",-71.085926,42.388736,"MOTOR VEHICLE THEFT",2005
"348",-71.095618,42.376802,"MOTOR VEHICLE THEFT",2005
"349",-71.079136,42.384373,"THEFT FROM MOTOR VEHICLE",2005
"350",-71.090864,42.381936,"MOTOR VEHICLE THEFT",2005
"351",-71.094754,42.391131,"THEFT FROM MOTOR VEHICLE",2005
"352",-71.084373,42.381545,"MOTOR VEHICLE THEFT",2005
"353",-71.098918,42.381013,"ROBBERY",2005
"354",-71.08822,42.385873,"MOTOR VEHICLE THEFT",2005
"355",-71.090884,42.395217,"BURGLARY/BREAKING AND ENTERING",2005
"356",-71.083136,42.393185,"MOTOR VEHICLE THEFT",2005
"357",-71.086078,42.385151,"THEFT FROM MOTOR VEHICLE",2005
"358",-71.102202,42.37477,"ROBBERY",2005
"359",-71.114257,42.394287,"MOTOR VEHICLE THEFT",2005
"360",-71.095748,42.383717,"THEFT FROM MOTOR VEHICLE",2005
"361",-71.121118,42.394261,"ROBBERY",2005
"362",-71.0899929,42.3880252,"MOTOR VEHICLE THEFT",2005
"363",-71.125469,42.39968,"MOTOR VEHICLE THEFT",2005
"364",-71.120127,42.396137,"BURGLARY/BREAKING AND ENTERING",2005
"365",-71.100902,42.378702,"THEFT FROM MOTOR VEHICLE",2005
"366",-71.097177,42.389066,"ROBBERY",2005
"367",-71.096387,42.394049,"MOTOR VEHICLE THEFT",2005
"368",-71.121932,42.395526,"ROBBERY",2005
"369",-71.08804,42.387321,"BURGLARY/BREAKING AND ENTERING",2005
"370",-71.109494,42.388421,"BURGLARY/BREAKING AND ENTERING",2005
"371",-71.097396,42.397642,"BURGLARY/BREAKING AND ENTERING",2005
"372",-71.079313,42.385669,"THEFT FROM MOTOR VEHICLE",2005
"373",-71.131475,42.40583,"BURGLARY/BREAKING AND ENTERING",2005
"374",-71.104137,42.395626,"BURGLARY/BREAKING AND ENTERING",2005
"375",-71.109494,42.388421,"BURGLARY/BREAKING AND ENTERING",2005
"376",-71.078838,42.386161,"MOTOR VEHICLE THEFT",2005
"377",-71.089543,42.38187,"MOTOR VEHICLE THEFT",2005
"378",-71.112213,42.392895,"MOTOR VEHICLE THEFT",2005
"379",-71.080047,42.384805,"BURGLARY/BREAKING AND ENTERING",2005
"380",-71.108096,42.398463,"MOTOR VEHICLE THEFT",2005
"381",-71.1075914,42.3983788,"MOTOR VEHICLE THEFT",2005
"382",-71.1075914,42.3983788,"THEFT FROM MOTOR VEHICLE",2005
"383",-71.122385,42.396544,"MOTOR VEHICLE THEFT",2005
"384",-71.128255,42.40211,"BURGLARY/BREAKING AND ENTERING",2005
"385",-71.128255,42.40211,"BURGLARY/BREAKING AND ENTERING",2005
"386",-71.080883,42.386421,"THEFT FROM MOTOR VEHICLE",2005
"387",-71.108214,42.390387,"BURGLARY/BREAKING AND ENTERING",2005
"388",-71.089682,42.393754,"MOTOR VEHICLE THEFT",2005
"389",-71.103661,42.380245,"BURGLARY/BREAKING AND ENTERING",2005
"390",-71.101174,42.376879,"THEFT FROM MOTOR VEHICLE",2005
"391",-71.088146,42.3803,"BURGLARY/BREAKING AND ENTERING",2005
"392",-71.083136,42.393185,"MOTOR VEHICLE THEFT",2005
"393",-71.103412,42.388353,"ROBBERY",2005
"394",-71.099064,42.389706,"MOTOR VEHICLE THEFT",2005
